market_id,title,category,market_prob,model_prob,bid,ask,last,close_time,date,resolved_yes,liquidity,decision_date,edge,stake,entered,pnl,entry_price,cumulative_pnl
synthetic-0-0,Synthetic market 0-0,weather,0.02,0.03,0.01,0.03,0.02,2026-01-08 00:00:00+00:00,2026-01-01T00:00:00+00:00,1,1000,2026-01-01 00:00:00+00:00,0.009999999999999998,100.0,False,0.0,0.02,0.0
synthetic-0-1,Synthetic market 0-1,weather,0.035,0.055,0.025,0.045,0.035,2026-01-08 00:00:00+00:00,2026-01-01T00:00:00+00:00,0,1250,2026-01-01 00:00:00+00:00,0.019999999999999997,100.0,False,0.0,0.035,0.0
synthetic-0-2,Synthetic market 0-2,weather,0.05,0.08,0.04,0.06,0.05,2026-01-08 00:00:00+00:00,2026-01-01T00:00:00+00:00,0,1500,2026-01-01 00:00:00+00:00,0.03,100.0,True,-100.0,0.05,-100.0
synthetic-0-3,Synthetic market 0-3,weather,0.065,0.075,0.055,0.075,0.065,2026-01-08 00:00:00+00:00,2026-01-01T00:00:00+00:00,0,1750,2026-01-01 00:00:00+00:00,0.009999999999999995,100.0,False,0.0,0.065,-100.0
synthetic-0-4,Synthetic market 0-4,weather,0.08,0.1,0.07,0.09,0.08,2026-01-08 00:00:00+00:00,2026-01-01T00:00:00+00:00,1,2000,2026-01-01 00:00:00+00:00,0.020000000000000004,100.0,True,1150.0,0.08,1050.0
synthetic-1-0,Synthetic market 1-0,weather,0.02,0.03,0.01,0.03,0.02,2026-01-09 00:00:00+00:00,2026-01-02T00:00:00+00:00,0,1000,2026-01-02 00:00:00+00:00,0.009999999999999998,100.0,False,0.0,0.02,1050.0
synthetic-1-1,Synthetic market 1-1,weather,0.035,0.055,0.025,0.045,0.035,2026-01-09 00:00:00+00:00,2026-01-02T00:00:00+00:00,0,1250,2026-01-02 00:00:00+00:00,0.019999999999999997,100.0,False,0.0,0.035,1050.0
synthetic-1-2,Synthetic market 1-2,weather,0.05,0.08,0.04,0.06,0.05,2026-01-09 00:00:00+00:00,2026-01-02T00:00:00+00:00,0,1500,2026-01-02 00:00:00+00:00,0.03,100.0,True,-100.0,0.05,950.0
synthetic-1-3,Synthetic market 1-3,weather,0.065,0.075,0.055,0.075,0.065,2026-01-09 00:00:00+00:00,2026-01-02T00:00:00+00:00,1,1750,2026-01-02 00:00:00+00:00,0.009999999999999995,100.0,False,0.0,0.065,950.0
synthetic-1-4,Synthetic market 1-4,weather,0.08,0.1,0.07,0.09,0.08,2026-01-09 00:00:00+00:00,2026-01-02T00:00:00+00:00,0,2000,2026-01-02 00:00:00+00:00,0.020000000000000004,100.0,True,-100.0,0.08,850.0
synthetic-2-0,Synthetic market 2-0,weather,0.02,0.03,0.01,0.03,0.02,2026-01-10 00:00:00+00:00,2026-01-03T00:00:00+00:00,0,1000,2026-01-03 00:00:00+00:00,0.009999999999999998,100.0,False,0.0,0.02,850.0
synthetic-2-1,Synthetic market 2-1,weather,0.035,0.055,0.025,0.045,0.035,2026-01-10 00:00:00+00:00,2026-01-03T00:00:00+00:00,0,1250,2026-01-03 00:00:00+00:00,0.019999999999999997,100.0,False,0.0,0.035,850.0
